MODE,bus_scale,age,female,driving_license,car_ownership,distance,dur_walking,dur_cycling,dur_pt_access,dur_pt_rail,dur_pt_bus,dur_pt_int,pt_interchanges,dur_driving,cost_transit,cost_driving_fuel,cost_driving_ccharge,driving_traffic_percent,purpose_HBW,purpose_HBE,purpose_HBO,purpose_NHBO,fuel_petrol,fuel_diesel,fuel_hybrid,fuel_dieselLGV,fuel_avg,fare_full,fare_child,fare_disabled,fare_free,travel_Mon,travel_Tue2Thu,travel_Fri,travel_Sat,start_time_morningpeak,start_time_noon,start_time_afternoon,start_time_evening_peak,start_time_evening
3,1.0,0.5319148936170213,1.0,1.0,1.0,0.37328700078308535,0.37399057364678284,0.363793889834615,0.18387850456225438,0.2840909092536158,0.04527813702926553,0.17335473510796667,0.25,0.3877055811775965,0.45959970348406226,0.25173439048562934,1.0,0.6098016,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0
3,1.0,0.3085106382978723,0.0,0.0,0.0,0.11291111981205952,0.12734532133693646,0.11144550863052759,0.133878504940759,0.0,0.23130659785058802,0.0,0.0,0.12334861119529483,0.1111934766493699,0.07333994053518335,0.0,0.26462880000000005,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0
4,0.0,0.01063829787234042,1.0,0.0,0.5,0.02273394675019577,0.02833898709905671,0.03456452356055427,0.1792056078337191,0.0,0.022897800933805727,0.0,0.0,0.05621461295664993,0.0,0.02973240832507433,0.0,0.0555024,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0
1,0.0,0.09574468085106383,0.0,0.0,1.0,0.06930305403288958,0.08030380349315865,0.09101687180202649,0.16705607465728448,0.0,0.05562742541326028,0.14093097858338852,0.25,0.07818819085418932,0.0,0.05649157581764122,0.0,0.10051600000000001,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0
3,1.0,0.20212765957446807,0.0,1.0,0.0,0.11154072043852781,0.10801236824520505,0.1126310991094535,0.20537383203688095,0.0,0.16313065988751677,0.0,0.0,0.13925586393617034,0.1111934766493699,0.07135777998017839,0.0,0.5206959999999999,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0
4,1.0,0.1595744680851064,1.0,1.0,0.5,0.01984631949882537,0.019332953091731442,0.022070223367668427,0.11285046755954668,0.0,0.02846054328884456,0.0,0.0,0.04408196264332217,0.1111934766493699,0.022794846382556987,0.0,0.0951216,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0
3,1.0,0.1702127659574468,1.0,0.0,0.0,0.03881166797180893,0.04896280502230271,0.046420428678130836,0.18457943886125425,0.0,0.05821474774211796,0.0,0.0,0.0629549742957549,0.1111934766493699,0.03270564915758176,0.0,0.12649600000000003,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0
4,0.0,0.10638297872340427,0.0,0.0,1.0,0.05660238841033673,0.0797934615880516,0.06922024613616638,0.12313084120344571,0.0,0.15265200529393555,0.0,0.0,0.09301698541197545,0.0,0.05153617443012884,0.0,0.07756872,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0
4,1.0,0.5744680851063829,1.0,1.0,0.5,0.09861981205951449,0.10837260967898728,0.09822161434727461,0.24088785053823478,0.0,0.14747736110193818,0.0,0.0,0.11916958725240484,0.1111934766493699,0.07135777998017839,0.0,0.166328,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0
1,1.0,0.1595744680851064,0.0,1.0,0.5,0.033697141738449496,0.045390411578481005,0.05125398993720975,0.03644859784706087,0.0,0.21474773606362205,0.08346709442479176,0.25,0.08668104607351874,0.2223869532987398,0.05946481665014866,0.0,0.08571440000000001,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0
4,0.0,0.1276595744680851,1.0,0.0,1.0,0.14151820673453408,0.14166491546586205,0.11992704066975948,0.09345794382304132,0.0,0.15601552394887613,0.19261637272741794,0.25,0.1346724184779381,0.0,0.10505450941526263,0.0,0.3064,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0
3,1.0,0.276595744680851,0.0,1.0,0.0,0.18718187157400157,0.1932094503673387,0.18267213867936222,0.15046728979902174,0.2840909092536158,0.0,0.09630818578585985,0.25,0.2961714749787467,0.2149740548554485,0.13082259663032705,1.0,0.5681528,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0
4,1.0,0.4787234042553191,1.0,1.0,1.0,0.05063136256851997,0.056497853589294704,0.05900592788607454,0.05350467279873788,0.0,0.0817593792581381,0.0,0.0,0.058775950352864904,0.1111934766493699,0.036669970267591674,0.0,0.1373,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0
1,1.0,0.4148936170212766,0.0,1.0,0.5,0.028974158183241974,0.03803548372838016,0.03757409959371537,0.1287383181188095,0.0,0.02742561454358869,0.0,0.0,0.05958479386885542,0.1111934766493699,0.031714568880079286,0.0,0.12460480000000002,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0
4,0.0,0.13829787234042554,0.0,0.0,0.5,0.045100822239624125,0.05058389115010561,0.05025079814503429,0.09556074756116255,0.0,0.07076325982621096,0.0,0.0,0.06335939581109716,0.0,0.030723488602576808,0.0,0.23609360000000001,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0
4,0.0,0.10638297872340427,1.0,0.0,0.5,0.01649373531714957,0.01969319441744128,0.03201094391595195,0.08878504709450606,0.0,0.048900388103379086,0.0,0.0,0.05891075768641432,0.0,0.023785926660059464,0.0,0.1278536,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0
1,1.0,0.1595744680851064,0.0,0.0,0.5,0.013826350822239625,0.015250217634730284,0.013679890671811752,0.08037383214202114,0.0,0.017464424322635386,0.0,0.0,0.030870854632211068,0.1111934766493699,0.014866204162537165,0.0,0.32695680000000005,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0
4,0.0,0.3404255319148936,0.0,1.0,1.0,0.1428151918559123,0.15652487163738854,0.16689466475150697,0.18224299091754737,0.0,0.239844760697526,0.0,0.0,0.206929091509013,0.0,0.11595639246778988,1.0,0.5270832000000001,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0
4,0.0,0.0425531914893617,0.0,0.0,1.0,0.021901918559122945,0.04593077362108197,0.05098039223540142,0.32079439258684167,0.0,0.038809831672839315,0.0,0.0,0.04381234846152934,0.0,0.023785926660059464,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0
3,1.0,0.36170212765957444,1.0,0.0,0.5,0.3262774079874706,0.3491639398246324,0.33433652523494795,0.28481308399207356,0.32954545424328513,0.0,0.11556982340531113,0.25,0.4355621462484664,0.20756115641215714,0.25867195242814667,1.0,0.49900960000000005,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0
4,1.0,0.5851063829787234,1.0,1.0,1.0,0.0476213782302271,0.06535378701722278,0.07879616963926636,0.08084112139431392,0.0,0.15860284627773383,0.22921348270196765,0.25,0.0574278779879827,0.2223869532987398,0.03865213082259663,0.0,0.170492,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0
